id,customer_id,car_id,date_bid,bid_price,bid_status
1,12,34,2021-12-30 16:50:42.289933,148043000,Pending
2,44,8,2020-08-31 20:51:46.803370,77873000,Pending
3,44,16,2022-11-13 04:14:52.170632,75290000,Pending
4,27,45,2023-07-18 17:16:39.330034,349027000,Sent
5,28,33,2021-10-08 01:42:40.638008,205047000,Pending
6,65,48,2020-09-01 00:14:49.973572,137790000,Sent
7,18,26,2023-11-26 19:43:56.154468,136233000,Pending
8,87,19,2020-12-26 23:12:36.359509,90380000,Pending
9,5,42,2023-04-19 17:56:41.168514,143532000,Pending
10,14,43,2020-12-25 00:09:21.081323,174233000,Pending
11,29,49,2021-02-12 10:53:19.648000,84526000,Sent
12,50,8,2020-08-28 05:46:55.191061,88783000,Pending
13,52,45,2023-07-24 18:07:47.927678,336845000,Pending
14,24,1,2021-11-10 16:56:13.676158,141703000,Pending
15,21,2,2024-07-26 10:34:02.051745,188212000,Sent
16,7,36,2022-04-21 03:04:11.044141,335748000,Sent
17,20,30,2024-01-12 15:43:05.034293,114974000,Sent
18,43,16,2022-11-13 05:26:03.525822,66641000,Sent
19,100,17,2024-05-04 20:01:13.396402,89145000,Sent
20,53,29,2024-06-08 20:31:01.202338,78310000,Pending
21,99,32,2024-05-16 02:48:18.239233,198995000,Sent
22,60,44,2024-03-25 18:18:52.816947,131364000,Pending
23,28,49,2021-02-08 17:56:55.767040,75895000,Sent
24,70,4,2022-06-26 11:39:25.803652,178606000,Sent
25,6,41,2024-06-11 14:57:40.900472,271821000,Pending
26,48,36,2022-04-08 23:03:07.409913,347530000,Sent
27,30,39,2021-12-23 00:26:12.672280,227122000,Sent
28,60,38,2024-02-18 11:39:16.328620,85011000,Sent
29,56,13,2020-06-22 05:46:41.392565,84505000,Pending
30,3,18,2022-04-27 04:02:49.450094,69391000,Sent
31,66,11,2023-04-13 05:25:30.193567,91225000,Sent
32,8,22,2024-02-05 21:38:32.517562,206175000,Pending
33,94,17,2024-04-23 10:00:00.493805,105879000,Sent
34,48,2,2024-07-06 07:00:00.684452,168623000,Pending
35,78,25,2022-01-24 07:05:38.827499,169700000,Sent
36,73,6,2021-06-02 21:08:40.310260,104976000,Pending
37,95,19,2020-12-28 18:52:22.959609,99581000,Pending
38,88,23,2021-01-13 14:44:46.238314,151835000,Pending
39,57,7,2020-03-16 09:34:07.215202,87495000,Sent
40,13,9,2021-05-08 13:50:05.891469,138975000,Sent
41,64,25,2022-01-10 20:17:25.954515,181431000,Pending
42,1,50,2020-10-02 08:18:24.379189,124441000,Sent
43,31,11,2023-04-07 08:21:39.616964,123018000,Pending
44,68,24,2021-04-02 05:29:41.560024,131515000,Pending
45,54,15,2022-10-24 11:41:06.631314,86895000,Sent
46,16,29,2024-06-24 17:11:02.813332,89842000,Sent
47,52,33,2021-10-09 03:23:50.865108,178894000,Pending
48,43,41,2024-06-27 10:08:12.702345,261363000,Sent
49,82,13,2020-06-30 17:58:29.014897,104985000,Pending
50,5,36,2022-04-20 05:40:57.757160,340572000,Sent
51,72,43,2020-12-12 14:27:26.068480,131771000,Sent
52,83,44,2024-03-20 14:18:45.560949,162780000,Pending
53,52,42,2023-04-19 12:59:46.696458,118146000,Pending
54,80,10,2020-11-22 18:35:43.470231,99377000,Pending
55,27,40,2023-05-21 00:27:44.645457,311753000,Pending
56,86,7,2020-03-12 22:43:41.942651,80042000,Pending
57,57,16,2022-12-05 08:15:00.201113,71990000,Sent
58,24,35,2020-03-23 06:15:37.132085,167141000,Sent
59,68,27,2023-01-09 03:08:58.261355,166208000,Sent
60,59,38,2024-03-02 13:19:00.548801,105751000,Pending
61,14,17,2024-05-08 12:43:46.946847,113675000,Pending
62,53,10,2020-11-19 07:44:27.143203,105257000,Sent
63,1,38,2024-03-05 00:48:41.834001,93699000,Pending
64,19,5,2020-09-17 12:26:42.939737,107310000,Pending
65,9,16,2022-11-14 11:16:45.751918,59015000,Pending
66,60,36,2022-04-19 19:54:17.288443,368088000,Pending
67,58,20,2020-08-31 13:50:26.419480,96194000,Pending
68,27,31,2020-05-22 21:21:06.953178,185758000,Sent
69,100,35,2020-03-23 21:33:17.919741,154939000,Sent
70,27,7,2020-03-16 18:23:39.028369,69931000,Sent
71,63,14,2021-03-17 00:46:33.828270,86780000,Sent
72,2,18,2022-04-21 03:58:03.971369,85024000,Sent
73,66,33,2021-10-21 08:24:40.439218,186878000,Sent
74,59,42,2023-04-24 14:04:11.630656,124510000,Sent
75,67,19,2020-12-20 14:11:09.025600,105233000,Sent
76,45,50,2020-10-03 12:22:20.985779,145230000,Sent
77,66,44,2024-03-14 14:52:26.289170,165527000,Sent
78,5,50,2020-10-01 06:02:16.407358,151788000,Pending
79,68,38,2024-02-25 10:03:10.436809,109473000,Pending
80,42,31,2020-05-11 01:11:18.636508,174897000,Pending
81,35,17,2024-04-29 07:48:17.631824,111807000,Sent
82,31,36,2022-04-07 15:41:43.579606,373055000,Pending
83,51,32,2024-05-15 00:19:16.735697,222732000,Sent
84,84,44,2024-03-30 15:59:20.227386,130422000,Pending
85,56,35,2020-03-25 10:02:56.885948,127783000,Sent
86,7,33,2021-10-07 17:03:37.600227,153616000,Pending
87,50,29,2024-06-29 18:54:47.573241,70012000,Sent
88,69,10,2020-11-24 05:52:37.731387,85078000,Sent
89,82,36,2022-04-11 15:29:05.005059,361892000,Sent
90,31,1,2021-11-23 18:56:09.939937,154840000,Sent
91,99,24,2021-04-06 09:39:58.692956,152905000,Pending
